 line_num | count | container_number | order_number | lot | item_code |                         product_description                          | qty  | pkgs | pack_type_code |  cbm  |   kgs    | invoice_number 
       64 |     1 | CAAU6980806      | 5170790      | 1   | A211-XXL  | Whites Vegas Chefs Jacket Short Sleeve White Polycotton - Size XXL   |  175 |    7 | CTN            | 0.320 |  150.500 | 832A
       65 |     1 | CAAU6980806      | 5170790      | 1   | A212      | Whites Bakers Cap White - One Size                                   |  300 |    1 | CTN            | 0.070 |   12.300 | 832A
       66 |     1 | CAAU6980806      | 5170790      | 1   | A279      | EDLP Whites Bib Apron Polycotton Black                               | 5100 |   51 | CTN            | 3.530 | 1122.000 | 832A
       67 |     1 | CAAU6980806      | 5170790      | 1   | A351-L    | Whites Unisex Coat White Polycotton - Size L                         |  275 |   11 | CTN            | 0.500 |  165.000 | 832A
       68 |     1 | CAAU6980806      | 5170790      | 1   | A438-L    | Whites Vegas Chefs Jacket Long Sleeve Black Polycotton - Size L      |  425 |   17 | CTN            | 0.770 |  221.000 | 832A
       69 |     1 | CAAU6980806      | 5170790      | 1   | A438-XL   | Whites Vegas Chefs Jacket Long Sleeve Black Polycotton - Size XL     |  150 |    6 | CTN            | 0.270 |   84.000 | 832A
       70 |     1 | CAAU6980806      | 5170790      | 1   | A439-3XL  | Whites Vegas Chefs Jacket Short Sleeve Black - Size 3XL              |  125 |    5 | CTN            | 0.230 |  120.000 | 832A
       71 |     1 | CAAU6980806      | 5170790      | 1   | A439-L    | Whites Vegas Chefs Jacket Short Sleeve Black Polycotton - Size L     |  100 |    4 | CTN            | 0.180 |   16.400 | 832A
       72 |     1 | CAAU6980806      | 5170790      | 1   | A439-M    | Whites Vegas Chefs Jacket Short Sleeve Black Polycotton - Size M     | 1075 |   43 | CTN            | 1.950 |  177.950 | 832A
       73 |     1 | CAAU6980806      | 5170790      | 1   | A439-S    | Whites Vegas Chefs Jacket Short Sleeve Black Polycotton - Size S     |  225 |    9 | CTN            | 0.410 |   18.000 | 832A
       74 |     1 | CAAU6980806      | 5170790      | 1   | A439-XL   | Whites Vegas Chefs Jacket Short Sleeve Black Polycotton - Size XL    |  300 |   12 | CTN            | 0.540 |   24.000 | 832A
       75 |     1 | CAAU6980806      | 5170790      | 1   | A439-XS   | Whites Vegas Chefs Jacket Short Sleeve Black Polycotton - Size XS    |  100 |    4 | CTN            | 0.180 |   86.000 | 832A
       76 |     1 | CAAU6980806      | 5170790      | 1   | A439-XXL  | Whites Vegas Chefs Jacket Short Sleeve Black Polycotton - Size XXL   |  100 |    4 | CTN            | 0.180 |   86.000 | 832A
       77 |     1 | CAAU6980806      | 5170790      | 1   | A582-4XL  | Whites Vegas Chefs Trousers Black - Size 4XL                         |  100 |    4 | CTN            | 0.180 |   92.000 | 832A
